Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Featured Image,Summary,Content,Video,Category,Type,Author,Industries,Tags,File Upload,File Cover Image
5 Key Considerations for Your Year-End Carpet Cleaning,5-key-considerations-for-your-year-end-carpet-cleaning,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,68f1ab52327919891a1be247,false,false,Fri Oct 17 2025 02:34:58 GMT+0000 (Coordinated Universal Time),Fri Oct 17 2025 02:37:01 GMT+0000 (Coordinated Universal Time),Wed Dec 10 2025 23:32:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/68f1abc1f74608fe3e0b4add_Screenshot%202025-10-17%20at%2010.36.29%20AM.png,"Our GM of Cleaning Aaron Kelly shares five key carpet cleaning considerations for facility managers,covering moisture, mould, and maintenance to extend carpet life and reduce long-term costs.","<p>It’s that time of year again—big carpet cleans are underway. But are they really helping your floors? Our GM of Cleaning Aaron Kelly from Premrest shares five essential considerations that challenge the “one big clean a year” mindset and explains why consistent, low-moisture maintenance is the smarter, more sustainable way forward.</p>",https://www.youtube.com/watch?v=Jzo-G-bNqxg,cleaning,webinars,aaron-kelly,,,,
A Better Way to Build with Dave Moolman,a-better-way-to-build-with-dave-moolman,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,690c0c34a16218054659fa76,false,false,Thu Nov 06 2025 02:47:16 GMT+0000 (Coordinated Universal Time),Thu Nov 06 2025 10:51:50 GMT+0000 (Coordinated Universal Time),Wed Dec 10 2025 23:32:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/690c0e8e9be257c4e76802b3_ppp.png,"Dave Moolman of Shaw Contract shares how sustainability is driven by purpose, personal stories, and a commitment to build better, more responsible manufacturing for future generations.","<p id="""">Welcome to episode 21 of <em id="""">Let’s Talk Facilities</em>. &nbsp;In this <em id="""">Let’s Talk Facilities</em> sustainability special, Tim Bradbury sit down with <strong id="""">Dave Moolman from Shaw Contract</strong> to explore how the drive for a better future often begins with personal experiences that shape our values.</p><p id="""">Dave shares how Shaw Contract’s approach to manufacturing looks beyond production efficiency to focus on long-term environmental responsibility, circular design, and products that stand the test of time.</p><p id="""">From generational impact to the human stories behind sustainability, this conversation reminds us that real change starts with purpose—and a commitment to do things better.</p><p id="""">‍</p>",https://www.youtube.com/watch?v=L36MOxBUJRk,installs,podcasts,tim-bradbury,,lets-talk-facilities,,
A breath of fresh air starts with your floors,a-breath-of-fresh-air-starts-with-your-floors,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,67e9b84da1a0012219173d50,false,false,Sun Mar 30 2025 21:31:57 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 00:24:38 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 00:31:19 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/6771d6730cc26c0b8fc741b0_86F071FA-FBA9-44D1-9290-1D0E1258BB0A.JPG,"Floors are more than decor - they’re the unsung heroes of air quality, trapping dust and allergens to create cleaner, healthier spaces that inspire and impress.","<p id="""">Your floor is your biggest work of art. It's the centrepiece that brings your entire facility to life - connecting the dots between your walls, artwork, furniture and decor.</p><p id="""">But let’s be honest - floors are more than just good looks. They also handle more than just being walked on and spilled all over.</p><p id="""">Floors form a critical part of shaping our indoor air quality. They work their magic to create the kind of environment worth working in - fresh, clean, and breathable.</p><p id="""">Without them, we'd all be stuffed. Stuffed with the worst kinds of dust, pollutants, and allergens.</p><p id="""">Creating a healthy working environment starts from the floor up and giving your floors some TLC.</p><p id="""">I’ve been to too many places where neglect turns these incredible surfaces into something closer to a health hazard.</p><p id="""">Hopefully, you're not creating art for all the wrong reasons.</p><h4 id="""">The first line of defence</h4><p id="""">Floors are like the unsung heroes of cleanliness - the clean police you didn't know existed.</p><p id="""">When dust, dirt, and all other types of allergens float through the air, your floors are the first line of defence. When the stuff you don't want to be breathing in falls down, they are caught and trapped by your flooring to create a cleaner environment.</p><p id="""">Here's the catch: if you don't care for them, they quickly turn from the defenders against poor air quality to being its biggest contributor.</p><p id="""">A majority of the facilities I inspect daily have a very obvious and telling sign of their poor indoor air quality. As I'm walking around a facility, I'll find an internal meeting room that has a closed door and open it to find a dark line along the carpet where the closed door sat. </p><p id="""">That black line represents the air quality in your facility. And it's safe to say, the darker the line, the poorer the air quality.</p><p id="""">The airflow from cooling and heating systems circulates the air throughout the facility and through the gap between the door and the carpets. The carpet fibres are acting as an air filter.</p><p id="""">Over time grime, dust, dirt, spills and all sorts of contaminants are piling up in your floors.<strong id=""""><em id=""""> </em></strong>Once they're clogged, they're no longer doing their job.</p><p id="""">A regular cleaning program means that they're kept in tip-top shape, ready to protect and serve.</p><p id="""">And, not just any sort of clean. One like our low moisture encapsulation method, where as much as 96% of even the most stubborn dirt and debris is removed.</p><h4 id="""">The materials matter</h4><p id="""">Certain floor types and materials trap more of the nasties than others. While they're all great, they impact the air you breathe differently.</p><p id="""">Thicker carpets, such as plush or shag, because of their longer fibres tend to trap more dirt and debris. Of course, it's exactly what you want. But at the blink of an eye, this can build up and embed itself deep into the fibres. What's worse, certain methods such as steam cleaning, through the high pressure hot water, lodges it even deeper into the backing of your carpet.</p><p id="""">Low-pile carpets, on the other hand, while less prone to deep seated dirt and debris, gathers and builds up even quicker if it's not properly maintained.</p><p id="""">Through thick or thin, the right professional maintenance program keeps your indoor environment nice and crisp.</p><h4 id="""">Stopping stench in its tracks</h4><p id="""">If you thought your carpet's ability to trap dirt and debris was impressive; the reverse is that it also does a hell of a job containing odours.</p><p id="""">Let's face it: There's nothing worse than an off-putting stench in the office. I've walked into spaces where you could literally see people cringing. But it's exactly what you have to deal with when deep rooted stains aren't properly dealt with.</p><p id="""">Mould and mildew is also one of the most common causes of smell. And, a lot of the time, I find that it's caused by the very thing brought in to remove it: steam cleaning.</p><p id="""">Because steam cleaning involves flushing your luscious fibres with hot water and extracting it, when water is not properly extracted or left to dry properly, moisture is trapped and causes mould to grow - only to be discovered when it's too far gone.</p><p id="""">Low moisture encapsulation uses as much as 76% less water and dries as quick as 90 minutes, leaving absolutely no chance for mould to reproduce.</p><h4 id="""">Eco-conscious choices create healthier workspaces</h4><p id="""">Deep cleaning is almost always synonymous with harsh chemicals.</p><p id="""">And for all intents and purposes, it's used to create a cleaner, healthier environment. But using them can also leave volatile residues in your carpets if it's not done by an expert, compromising the 'healthy' space you're trying to create in the first place.</p><p id="""">Making the switch to more environmentally friendly cleaning methods, such as low moisture encapsulation, is not only better for your health, but transforms your cleaning mindset. Floor cleaning no longer becomes something you do when the carpets 'look' dirty, they're maintained to stay clean all the time. </p><h4 id="""">Making the switch to low moisture encapsulation</h4><p id="""">Low moisture encapsulation is an innovative alternative to steam cleaning.</p><p id="""">Using considerably less water and energy, far fewer harsh chemicals, and little down time, many commercial facilities are making the switch.</p><p id="""">Our encapsulation method deals with even the most stubborn dirt and stains on a molecular level, and coats your carpets in a positive film that repels the grime to prevent rapid resoiling.</p><p id="""">The result? Those stubborn 'reoccurring' stains are finally dealt with, and your carpets are restored to its former glory with a fresh new look.</p><p id="""">With the dust, pollutants and allergens finally dealt with, you can breathe easy again.</p><p id="""">Let's chat about how we can revive your floors and bring 'wow!' back to your carpets.</p>",https://www.youtube.com/embed/ez4HOCHen_o?si=RVzU6Oj2is9tRzhf&amp;start=604,cleaning,articles,sammy-gilham,,,,
"Accurate data, smarter decisions: Leanne Cluley unpacks asset auditing",accurate-data-smarter-decisions-leanne-cluley-unpacks-asset-auditing,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,6848c275d11fd50ee94f17ed,false,false,Tue Jun 10 2025 23:40:37 GMT+0000 (Coordinated Universal Time),Fri Jun 20 2025 04:51:36 GMT+0000 (Coordinated Universal Time),Mon Jun 23 2025 02:05:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/6848c391ee5ab74018da986b_Leanne-Cluley.jpg,"In our tenth episode, Aaron Kelly and Sammy Gilham sit down with Leanne Cluley, Founder & CEO of Reduxo, to unpack the power of physical asset auditing and why accurate data is key.","<p id="""">Welcome to Episode 10 of Let’s Talk Facilities. Aaron Kelly and Sammy Gilham are joined by Leanne Cluley, Founder &amp; CEO of Reduxo, for a deep dive into the world of physical asset auditing.</p><p id="""">They discuss why reliable data is the foundation for confident decision-making across asset-intensive industries. From building accurate asset registers to enabling predictive maintenance and long-term lifecycle planning, Leanne shares how Reduxo’s tailored approach helps organisations cut risk, save time, and plan proactively.</p><p id="""">Tune in for practical advice, real-world examples, and insights drawn from decades of hands-on experience in asset management.</p>",https://www.youtube.com/watch?v=PSyWle8KDRY&t,cleaning,podcasts,aaron-kelly; sammy-gilham,,lets-talk-facilities,,
Aged Care,aged-care,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,68b7f0805e52f36e0eed95f1,false,true,Wed Sep 03 2025 07:38:40 GMT+0000 (Coordinated Universal Time),Wed Sep 03 2025 07:39:52 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,
Bob Foletta - Interface Australia,bob-foletta,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,67a9795b44bb66878522bfd6,false,false,Mon Feb 10 2025 03:58:19 GMT+0000 (Coordinated Universal Time),Fri Jun 20 2025 00:58:51 GMT+0000 (Coordinated Universal Time),Fri Jun 20 2025 00:59:34 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/67a97aea086d82e72ce547a5_lets-talk-facilities-bob-foletta.webp,"In our second episode, hosts Aaron Kelly and Colin Saddington interview Bob Foletta from Interface Australia, a seasoned expert who's about to retire after a remarkable career.","<p>Welcome to Episode 2 of Let's Talk Facilities</p><p>Join Colin Saddington and Aaron Kelly from the Premrest team as they chat with Bob Foletta from Interface Australia - a seasoned expert who's about to retire after a remarkable career as Technical Field Services Manager for Asia Pacific at Interface. Interface Australia is a subsidiary of the global company ""Interface"", a leading manufacturer of modular flooring products like carpet tiles and resilient flooring, with a significant presence in Australia where they manufacture and sell their products locally, including a focus on sustainable practices and carbon-negative flooring options; they are known for their commitment to environmental responsibility.</p><p>In this episode, Bob shares thoughtful insights from his journey in commercial floor care, along with some lighthearted reflections on the industry he’s helped shape.</p>",https://www.youtube.com/watch?v=XeNn0AM8lwY,cleaning,podcasts,aaron-kelly; colin-saddington,,lets-talk-facilities,,
Building a Circular Future with Paul Rosenberg Vella,building-a-circular-future-with-paul-rosenberg-vella,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,68da3bc87b93b8d40bd93893,false,false,Mon Sep 29 2025 07:56:56 GMT+0000 (Coordinated Universal Time),Wed Oct 01 2025 00:21:46 GMT+0000 (Coordinated Universal Time),Wed Dec 10 2025 23:32:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/68db874a51bbde2b843e4621_Let%E2%80%99s%20Talk%20Facilities%20-%20Opener.jpg,"Paul Vella of Revert Group shares how circular practices in construction turn waste into value, and why facility managers play a key role in building a sustainable, resource-conscious future.","<p id="""">Welcome to episode 18 of <em id="""">Let’s Talk Facilities</em>. Ben Young and Tim Bradbury are joined by Paul Vella, Director at Revert Group, for a forward-looking conversation on the circular economy in the built environment. </p><p id="""">Paul shares how shifting to circular practices can reduce waste, cut costs, and extend the life of materials. Drawing from his experience in commercial fit-outs, he highlights the role facility managers play in driving these changes—and why collaboration between designers, contractors, and asset managers is essential for reuse to work at scale.</p>",https://www.youtube.com/watch?v=-2XgtIDePPQ,installs,podcasts,ben-young; tim-bradbury,,lets-talk-facilities,,
Building digital estates: Jade Germantis on data-driven facilities,building-digital-estates-jade-germantis-on-data-driven-facilities,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,68364a37ef2885c3f25d54eb,false,false,Tue May 27 2025 23:26:47 GMT+0000 (Coordinated Universal Time),Fri Jun 20 2025 00:57:49 GMT+0000 (Coordinated Universal Time),Fri Jun 20 2025 00:59:34 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/683649fe9a26ce76020fdb52_video-frame-jade-germanis.webp,"In our ninth episode, Ben Young and Aaron Kelly sit down with Jade Germantis, Program Director of Digital Estate at The University of Melbourne, to explore the world of digital estates. ","<p id="""">Welcome to Episode 9 of Let’s Talk Facilities. Ben Young and Aaron Kelly sit down with Jade Germantis, Program Director of Digital Estate at The University of Melbourne, to explore what it really means to manage a digital estate.</p><p id="""">They unpack how facilities teams can move beyond spreadsheets, start capturing meaningful data, and lay the foundations for smarter, more connected environments. From early challenges to building a robust data lake, Jade shares practical steps for turning information into insight.</p><p id="""">Tune in for a down-to-earth look at how digital estates are reshaping the future of facilities management.</p><p id="""">‍</p>",https://www.youtube.com/watch?v=V8iN6Beu6jc&t=4s,cleaning,podcasts,ben-young; aaron-kelly,,lets-talk-facilities,,
Carpet cleaning in a call centre that never switches off,carpet-cleaning-in-a-call-centre-that-never-switches-off,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,684f77b74803603a919b53c6,false,false,Mon Jun 16 2025 01:47:35 GMT+0000 (Coordinated Universal Time),Mon Jun 16 2025 03:31:20 GMT+0000 (Coordinated Universal Time),Mon Jun 16 2025 03:36:44 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/684f9004678f2c633163298f_3.webp,"Quiet, non-disruptive floor care amid the chaos of a 24/7 operation - without missing a single call.","<p id="""">In this case study, discover how we restored the carpets of a national 24/7 call centre without disrupting operations. With no opportunity for downtime, we introduced a low moisture encapsulation program that runs quietly, dries fast, and prevents resoiling. Cleaner, healthier carpets - all while calls continued as normal.</p>",,cleaning,case-studies,nick-grace,24-7-call-centres,,https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/684f78c6970f8e61b1759c61_Carpet%20cleaning%20in%20a%20call%20centre%20that%20never%20switches%20off.pdf,https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/684f78c7d7f8d2b9a0366435_1.jpg
"Charles Hammersla on facility management, integrity, and community impact",charles-hammersla-on-facility-management-integrity-and-community-impact,6764ce49bb4bcb968e1f8273,6764ce480fea74a61cc3a6d0,685b2a225f6c43405f0e1454,false,false,Tue Jun 24 2025 22:43:46 GMT+0000 (Coordinated Universal Time),Wed Jun 25 2025 00:55:18 GMT+0000 (Coordinated Universal Time),Fri Jun 27 2025 01:48:06 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6764ce480fea74a61cc3a6d3/685b2aa8b8227983f2368181_charles-hammersla-featured-image.jpg,"In the eleventh episode of Let's Talk Facilities, Aaron Kelly sits down with Charles Hammersla, a seasoned facility leader, to discuss the evolving role of FM's. ","<p id="""">Welcome to Episode 11 of Let's Talk Facilities. Join host Aaron Kelly as he engages in an inspiring conversation with Charles Hammersla, a seasoned facility management leader.</p><p id="""">Together, they dive into practical advice for aspiring facility managers, emphasising the importance of follow through on commitments and how the role has transformed to meet ever-growing customer expectations. Charles also shares his passion for making a difference through not-for-profit work and community involvement, offering valuable lessons on leadership and creating lasting impact.</p><p id="""">Tune in for an insightful discussion on navigating the challenges of facility management while driving meaningful change in the industry and beyond.</p>",https://www.youtube.com/watch?v=b7gObs-xmFA,cleaning,podcasts,aaron-kelly,,lets-talk-facilities,,
